CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,704512
0.0,0.0,0.0,0,704512
0.2,0.0,0.0,0,1540096
0.5,30.0,0.4578125,0,8093696
0.3,10.0,0.153125,0,8093696
0.0,0.0,0.0,0,8093696
0.0,0.0,0.0,0,8093696
0.0,0.0,0.0,0,8093696
0.0,0.0,0.0,0,8093696
0.2,0.0,0.0,0,8093696
0.2,0.0,0.0,0,8093696
0.0,0.0,0.0,0,8093696
0.5,20.0,0.3078125,0,11882496
0.2,20.0,0.153125,0,13910016
0.0,10.0,0.153125,0,14856192
0.0,0.0,0.0,0,14856192
0.2,0.0,0.0,0,14856192
0.0,0.0,0.0,0,14856192
0.0,0.0,0.0,0,14856192
0.0,0.0,0.0,0,14856192
0.0,0.0,0.0,0,14856192
0.2,0.0,0.0,0,14856192
0.2,0.0,0.3078125,0,18235392
0.8,30.0,0.4609375,0,21614592
0.0,0.0,0.0,0,21614592
0.0,0.0,0.0,0,21614592
0.2,0.0,0.0,0,21614592
0.0,0.0,0.0,0,21749760
0.3,27.3,0.3046875,0,23506944
0.3,22.2,0.4609375,0,27697152
0.0,0.0,0.0,0,28372992
0.0,0.0,0.0,0,28372992
0.5,27.3,0.3078125,0,32313344
0.5,11.1,0.153125,0,35069952
0.0,0.0,0.0,0,35069952
0.0,0.0,0.0,0,35069952
0.0,0.0,0.0,0,35069952
0.2,0.0,0.0,0,35201024
0.5,30.0,0.3078125,0,38739968
0.5,27.3,0.3078125,0,41623552
0.0,0.0,0.0,0,41623552
0.0,0.0,0.0,0,41623552
0.5,27.3,0.3078125,0,45686784
0.6,11.1,0.459375,0,48177152
0.0,0.0,0.0,0,48177152
0.0,0.0,0.0,0,48177152
0.0,0.0,0.0,0,48177152
0.0,0.0,0.0,0,49225728
0.5,30.0,0.459375,0,53288960
0.3,11.1,0.153125,0,54730752
0.0,0.0,0.0,0,54730752
0.0,0.0,0.0,0,54730752
0.5,36.4,0.3078125,0,59187200
0.3,12.5,0.30625,0,62464000
0.2,11.1,0.459375,0,65806336
0.5,20.0,0.153125,0,67842048
0.2,0.0,0.0,0,67842048
0.0,0.0,0.153125,0,69677056
0.3,22.2,0.4609375,0,73740288
0.2,0.0,0.0,0,74395648
0.0,0.0,0.0,0,74395648
0.2,9.1,0.153125,0,49340416
0.5,30.0,0.3078125,0,52092928
0.6,30.0,0.3046875,0,56811520
0.6,30.0,0.4609375,0,59957248
0.0,0.0,0.153125,0,60481536
0.0,0.0,0.0,0,60481536
0.3,20.0,0.153125,0,62447616
0.3,11.1,0.4609375,0,66117632
0.0,10.0,0.0,0,67035136
0.2,0.0,0.0,0,67035136
0.0,0.0,0.153125,0,70443008
0.6,33.3,0.30625,0,73207808
0.6,22.2,0.459375,0,77393920
0.3,30.0,0.30625,0,80146432
0.2,8.3,0.153125,0,80146432
0.0,0.0,0.0,0,80146432
0.6,12.5,0.153125,0,82767872
0.5,33.3,0.3046875,0,86700032
0.3,12.5,0.459375,0,90238976
0.5,22.2,0.3046875,0,93253632
