Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem-128K.html,26918,0,390.0,813.9084055910915,4.108123999685631,9446.679926999423,131072.0,270.9885468794583,0.0,390,450,490,510,630,6600,7700,8100,9000,9300,9400
,Aggregated,26918,0,390.0,813.9084055910915,4.108123999685631,9446.679926999423,131072.0,270.9885468794583,0.0,390,450,490,510,630,6600,7700,8100,9000,9300,9400
