Bytes_sent,Bytes_received
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8192,0
16384,0
16384,0
16384,0
16384,0
16384,0
16384,0
16384,0
16384,0
16384,0
20480,0
20480,0
24576,0
24576,0
24576,0
24576,0
24576,0
24576,0
24576,0
24576,0
28672,0
28672,0
28672,0
28672,0
28672,0
28672,0
28672,0
32768,0
40960,0
40960,0
45056,0
45056,0
45056,0
45056,0
45056,0
45056,0
49152,0
49152,0
57344,0
57344,0
61440,0
61440,0
61440,0
61440,0
61440,0
61440,0
65536,0
69632,0
73728,0
73728,0
77824,0
77824,0
81920,0
86016,0
90112,0
90112,0
94208,0
98304,0
102400,0
102400,0
106496,0
114688,0
118784,0
126976,0
126976,0
135168,0
135168,0
143360,0
143360,0
147456,0
151552,0
159744,0
163840,0
167936,0
172032,0
172032,0
176128,0
180224,0
188416,0
188416,0
192512,0
200704,0
200704,0
204800,0
208896,0
212992,0
212992,0
217088,0
217088,0
225280,0
225280,0
229376,0
233472,0
237568,0
241664,0
241664,0
245760,0
245760,0
253952,0
253952,0
258048,0
258048,0
262144,0
266240,0
270336,0
270336,0
274432,0
274432,0
278528,0
282624,0
286720,0
286720,0
294912,0
294912,0
294912,0
299008,0
299008,0
303104,0
311296,0
311296,0
311296,0
315392,0
315392,0
319488,0
323584,0
327680,0
327680,0
331776,0
331776,0
339968,0
339968,0
339968,0
344064,0
344064,0
348160,0
356352,0
356352,0
364544,0
364544,0
368640,0
368640,0
368640,0
372736,0
372736,0
380928,0
385024,0
385024,0
385024,0
389120,0
393216,0
397312,0
401408,0
401408,0
405504,0
405504,0
409600,0
409600,0
413696,0
413696,0
421888,0
421888,0
425984,0
425984,0
430080,0
430080,0
438272,0
442368,0
446464,0
446464,0
446464,0
450560,0
458752,0
458752,0
462848,0
462848,0
471040,0
471040,0
471040,0
475136,0
475136,0
479232,0
483328,0
487424,0
487424,0
491520,0
495616,0
499712,0
499712,0
503808,0
503808,0
507904,0
507904,0
512000,0
512000,0
520192,0
520192,0
524288,0
524288,0
528384,0
528384,0
536576,0
536576,0
536576,0
540672,0
540672,0
548864,0
548864,0
552960,0
557056,0
557056,0
561152,0
565248,0
569344,0
569344,0
573440,0
573440,0
573440,0
581632,0
581632,0
585728,0
585728,0
589824,0
589824,0
598016,0
598016,0
602112,0
602112,0
606208,0
606208,0
614400,0
614400,0
618496,0
618496,0
618496,0
626688,0
626688,0
630784,0
630784,0
634880,0
634880,0
643072,0
647168,0
647168,0
647168,0
651264,0
655360,0
655360,0
655360,0
655360,0
663552,0
663552,0
667648,0
667648,0
671744,0
675840,0
675840,0
675840,0
679936,0
684032,0
