Total_CPU_percent,Total_Memory_usage
0.2,2677182464
0.5,2677182464
0.2,2677182464
0.5,2677182464
0.2,2677276672
0.5,2677276672
0.3,2677276672
0.2,2677276672
0.2,2677276672
0.3,2677571584
0.2,2677571584
0.2,2677571584
0.2,2677571584
0.3,2677510144
0.0,2677645312
0.2,2677645312
0.3,2677645312
0.3,2677645312
0.3,2677501952
0.0,2677297152
0.5,2677297152
0.5,2677297152
0.2,2677297152
0.2,2677297152
0.0,2677403648
0.5,2677403648
0.5,2677403648
0.3,2677403648
0.2,2677403648
0.2,2677014528
0.3,2677014528
0.3,2677014528
0.3,2677014528
0.0,2677014528
0.2,2677014528
0.2,2677014528
0.6,2677014528
0.2,2677014528
0.3,2677014528
0.2,2677067776
0.0,2677084160
0.3,2677084160
0.3,2677084160
0.3,2677084160
0.3,2677084160
0.2,2677084160
0.3,2677084160
0.0,2677084160
0.3,2677084160
0.2,2677010432
0.2,2677010432
0.3,2677010432
0.0,2677010432
0.2,2677010432
0.0,2677010432
0.3,2677010432
0.3,2677530624
0.3,2677530624
0.3,2677239808
0.0,2677239808
0.0,2677239808
0.2,2677239808
0.3,2677239808
0.3,2677223424
0.2,2677293056
0.2,2677293056
0.3,2677293056
0.3,2677293056
0.3,2676813824
0.3,2676813824
0.2,2676813824
0.5,2676813824
0.2,2676813824
0.5,2676813824
0.2,2676813824
0.2,2676813824
0.5,2676813824
0.3,2676813824
0.2,2676871168
0.0,2676871168
0.3,2676871168
0.3,2676871168
0.3,2676871168
0.3,2676871168
0.0,2676871168
0.0,2676871168
0.6,2676871168
0.6,2676871168
0.3,2676789248
0.0,2676789248
0.5,2676789248
7.3,2676707328
0.9,2676707328
0.5,2676707328
0.5,2676707328
0.3,2676707328
0.8,2676707328
0.5,2676707328
0.6,2677063680
0.3,2677063680
0.2,2677063680
0.5,2677063680
0.5,2677063680
0.2,2677063680
0.3,2677063680
0.5,2677063680
0.3,2677063680
0.3,2677223424
0.2,2677223424
0.3,2677223424
0.0,2677223424
0.3,2677239808
0.3,2677223424
0.2,2677223424
0.0,2677743616
0.2,2677686272
0.5,2677686272
0.2,2677686272
0.3,2677637120
0.2,2677637120
0.5,2677637120
0.3,2677637120
0.0,2677637120
0.2,2677637120
0.5,2677403648
0.0,2677403648
0.5,2677403648
0.2,2677563392
0.2,2677563392
0.2,2677563392
0.2,2677563392
0.2,2677563392
0.5,2677563392
0.3,2677563392
0.3,2677563392
0.2,2677563392
0.3,2677563392
0.0,2677768192
0.0,2677604352
0.2,2677604352
0.2,2677604352
0.2,2677604352
0.3,2677600256
0.5,2677600256
0.0,2677600256
0.2,2677600256
0.3,2677600256
0.0,2677579776
0.3,2677579776
0.0,2677579776
0.3,2677579776
0.3,2677579776
0.2,2677579776
0.3,2677579776
0.3,2677579776
0.3,2677579776
0.2,2677579776
0.3,2677219328
0.2,2677219328
0.2,2677219328
0.0,2677219328
