Method,Name,Error,Occurrences
GET,/lorem-64K.html,HTTPConnectionClosed('connection closed.'),16207
GET,/lorem-64K.html,HTTPParseError('Incomplete response.'),416
GET,/lorem-64K.html,LocustBadStatusCode(code=502),418
