Method,Name,Error,Occurrences
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:45 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",18
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:21:56 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",2
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:21:54 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",332
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:22:01 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",140
GET,/lorem-128K.html,LocustBadStatusCode(code=502),1
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:21:19 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",56
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:21:46 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",260
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:20:44 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",135
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:22:00 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",3
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:21:53 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",16
GET,/lorem-128K.html,"HTTPProtocolViolationError('A new response began before end of <HTTPSocketPoolResponse status=200 headers={\'Server\': \'nginx/1.18.0\', \'Date\': \'Tue, 22 Jul 2025 09:22:09 GMT\', \'Content-Type\': \'text/html\', \'Content-Length\': \'131072\', \'Connection\': \'keep-alive\', \'Last-Modified\': \'Mon, 21 Jul 2025 10:53:17 GMT\', \'ETag\': \'""687e1c1d-20000""\', \'Accept-Ranges\': \'bytes\'}>.')",245
