Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem.html,10640,0,1,1.341854075845779,0.5549429997699917,37.557573999947635,49142.0,107.34577338143016,0.0,1,1,1,1,1,2,13,15,27,37,38
GET,/test4.jpg,7162,0,1,1.4057177499287359,0.6174999998620478,67.93257400022412,70617.0,72.25661926295139,0.0,1,1,1,1,1,2,13,15,27,68,68
,Aggregated,17802,0,1,1.3675473481624927,0.5549429997699917,67.93257400022412,57781.70059543871,179.60239264438155,0.0,1,1,1,1,1,2,13,15,27,46,68
