Total_CPU_percent,Total_Memory_usage
0.8,2677248000
0.0,2677346304
0.5,2676133888
0.0,2676199424
0.5,2676412416
0.0,2677182464
0.3,2678247424
0.5,2677968896
0.2,2677596160
0.2,2677448704
0.3,2676744192
0.6,2676137984
0.5,2673958912
0.5,2674925568
0.0,2675335168
0.5,2676908032
0.6,2674417664
0.2,2672566272
0.2,2671976448
0.2,2672861184
0.0,2673156096
0.8,2674532352
0.3,2673905664
0.0,2674708480
0.5,2676035584
0.2,2676936704
0.2,2678214656
0.3,2677968896
0.5,2678018048
0.0,2677690368
0.2,2677739520
0.5,2676899840
0.2,2677194752
0.3,2677714944
0.2,2677190656
0.2,2675912704
0.6,2675814400
0.3,2676371456
0.5,2676633600
0.0,2677075968
0.6,2677321728
0.3,2676862976
0.2,2676846592
0.3,2677469184
0.2,2677698560
0.5,2677190656
0.3,2677239808
0.0,2677338112
0.5,2676879360
0.5,2676994048
0.5,2676535296
0.6,2676551680
0.3,2677485568
0.2,2676502528
0.5,2677010432
0.3,2676486144
0.5,2674159616
0.2,2672832512
0.3,2672881664
0.2,2673602560
0.3,2674126848
0.5,2673553408
0.2,2674700288
5.2,2672398336
1.2,2670514176
0.5,2672087040
0.8,2672955392
0.2,2674069504
0.6,2674065408
0.6,2674163712
0.3,2674245632
0.2,2673577984
0.3,2674675712
0.2,2675232768
0.0,2675167232
0.3,2675888128
0.3,2676453376
0.5,2677043200
0.2,2676895744
0.0,2676469760
0.3,2676207616
0.3,2675847168
0.2,2676469760
0.3,2676985856
0.0,2676527104
0.2,2675707904
0.3,2676486144
0.2,2676187136
0.6,2675695616
0.5,2675830784
0.5,2674278400
0.3,2674917376
0.3,2675851264
0.5,2676408320
0.0,2676510720
0.3,2673741824
0.3,2673528832
0.3,2673102848
0.5,2673643520
0.3,2674757632
0.3,2673172480
0.2,2674614272
0.3,2675834880
0.5,2675703808
0.3,2676211712
0.0,2676584448
0.3,2677354496
0.5,2676748288
0.2,2676813824
0.5,2677747712
0.3,2677248000
