CPU_%_global,CPU_%_on_core,CPU_percent_core_pin,Core,Memory_%
0.0,0.0,33.333333333313476,0,0.0008034884662078484
0.0,0.0,66.6666666667091,0,0.0008034884662078484
0.0,0.0,24.999999999983068,0,0.0008034884662078484
0.0,0.0,33.3333333333136,0,0.0008034884662078484
0.0,0.0,66.6666666667091,0,0.0008034884662078484
0.0,0.0,24.999999999982514,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,0.0,24.999999999983345,0,0.0008034884662078484
0.0,0.0,60.000000000000085,0,0.0008034884662078484
0.0,0.0,24.999999999983068,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,0.0,60.00000000002256,0,0.0008034884662078484
0.0,0.0,49.999999999977796,0,0.0008034884662078484
0.0,0.0,39.99999999997815,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,0.0,39.999999999978684,0,0.0008034884662078484
0.0,0.0,33.33333333331261,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,,0.0,0,0.0008034884662078484
0.0,0.0,66.66666666671009,0,0.0008034884662078484
