Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem-256K.html,14349,4,1800.0,3168.4694035028233,5.553633999625163,58012.6705319999,262070.9234092968,144.30282463036679,0.04022658711558068,1800,2000,2200,2300,2700,4400,42000,48000,55000,57000,58000
,Aggregated,14349,4,1800.0,3168.4694035028233,5.553633999625163,58012.6705319999,262070.9234092968,144.30282463036679,0.04022658711558068,1800,2000,2200,2300,2700,4400,42000,48000,55000,57000,58000
