Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem-32K.html,25084,0,400.0,1004.6985158737031,2.5194749996444443,10754.711307999969,32768.0,251.94894492810315,0.0,400,470,540,600,3300,6400,7800,8400,9900,11000,11000
,Aggregated,25084,0,400.0,1004.6985158737031,2.5194749996444443,10754.711307999969,32768.0,251.94894492810315,0.0,400,470,540,600,3300,6400,7800,8400,9900,11000,11000
