Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem-64K.html,35624,0,3,3.224710661408254,1.1156190003021038,55.15861100002439,65536.0,358.85286439379195,0.0,3,3,3,3,4,4,18,21,49,55,55
,Aggregated,35624,0,3,3.224710661408254,1.1156190003021038,55.15861100002439,65536.0,358.85286439379195,0.0,3,3,3,3,4,4,18,21,49,55,55
