Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem-256K.html,35603,0,3,4.463037837963311,1.5535000002273591,71.13470300009794,262144.0,358.6992111580817,0.0,3,4,4,4,5,6,29,38,61,70,71
,Aggregated,35603,0,3,4.463037837963311,1.5535000002273591,71.13470300009794,262144.0,358.6992111580817,0.0,3,4,4,4,5,6,29,38,61,70,71
