CPU_%_global,CPU_%_on_core,CPU_percent_core_pin,Core,Memory_%
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.6696428571420925,75.00000000001333,66.66666666666173,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,0.0,49.999999999995005,0,0.0028803535902539572
0.5208333333337959,100.00000000008882,33.3333333333131,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.5208333333335492,66.66666666672587,59.99999999997815,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.7812500000007286,200.00000000018653,33.3333333333131,0,0.0028559438140653647
1.562499999992506,66.6666666666943,59.99999999998952,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.6250000000006106,99.99999999988454,50.00000000003053,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,0.0,33.33333333343992,0,0.0028457730739867844
0.9375000000002998,100.00000000008882,59.99999999997815,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.7812500000006939,,0.0,0,0.0028457730739867844
0.39062500000034694,50.00000000004441,39.99999999997833,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.7812500000007286,199.99999999990231,25.000000000009575,0,0.0028559438140653647
0.7812499999995837,100.00000000008882,33.3333333333131,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.624999999999134,66.66666666659955,60.000000000023626,0,0.0028457730739867844
0.6250000000006106,66.66666666663706,75.00000000000999,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
0.0,,0.0,0,0.0028457730739867844
1.5625000000013878,,0.0,0,0.0028457730739867844
0.7812500000006939,66.66666666672587,74.99999999998334,0,0.0028559438140653647
0.0,0.0,4.545454545450637,0,0.0028559438140653647
0.0,,0.0,0,0.0028559438140653647
0.31249999999867883,100.00000000008882,33.3333333333136,0,0.0028579779620810804
