Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/lorem-64K.html,35601,0,2,2.8426780439310932,0.8597159999226278,51.354789000015444,65536.0,358.83205921405266,0.0,2,3,3,3,3,4,15,18,44,48,51
,Aggregated,35601,0,2,2.8426780439310932,0.8597159999226278,51.354789000015444,65536.0,358.83205921405266,0.0,2,3,3,3,3,4,15,18,44,48,51
